order_id,customer_id,status,amount,items,created_at,updated_at
ORD_000451,CUST_7933,pending,584.97,3,2026-01-10 16:51:00,2026-01-10 16:51:00
ORD_000452,CUST_8490,pending,1719.96,4,2026-01-10 20:11:00,2026-01-10 20:11:00
ORD_000453,CUST_1137,pending,299.99,1,2026-01-10 15:20:00,2026-01-10 15:20:00
ORD_000454,CUST_2650,pending,299.99,1,2026-01-10 14:37:00,2026-01-10 14:37:00
ORD_000455,CUST_5413,pending,669.97,3,2026-01-10 12:15:00,2026-01-10 12:15:00
ORD_000456,CUST_7099,pending,799.96,4,2026-01-10 14:44:00,2026-01-10 14:44:00
ORD_000457,CUST_4744,pending,359.97,3,2026-01-10 10:36:00,2026-01-10 10:36:00
ORD_000458,CUST_8081,pending,34.99,1,2026-01-10 20:15:00,2026-01-10 20:15:00
ORD_000459,CUST_7906,pending,354.96,4,2026-01-10 08:11:00,2026-01-10 08:11:00
ORD_000460,CUST_8972,pending,649.96,4,2026-01-10 13:50:00,2026-01-10 13:50:00
ORD_000461,CUST_3676,pending,1209.97,3,2026-01-10 09:44:00,2026-01-10 09:44:00
ORD_000462,CUST_2577,pending,89.99,1,2026-01-10 12:30:00,2026-01-10 12:30:00
ORD_000463,CUST_6638,pending,604.96,4,2026-01-10 20:16:00,2026-01-10 20:16:00
ORD_000464,CUST_4259,pending,49.99,1,2026-01-10 13:55:00,2026-01-10 13:55:00
ORD_000465,CUST_9363,pending,289.98,2,2026-01-10 13:43:00,2026-01-10 13:43:00
ORD_000466,CUST_3373,pending,1384.96,4,2026-01-10 15:40:00,2026-01-10 15:40:00
ORD_000467,CUST_7631,pending,499.98,2,2026-01-10 14:40:00,2026-01-10 14:40:00
ORD_000468,CUST_6136,pending,999.99,1,2026-01-10 13:14:00,2026-01-10 13:14:00
ORD_000469,CUST_8289,pending,634.97,3,2026-01-10 14:17:00,2026-01-10 14:17:00
ORD_000470,CUST_1378,pending,164.97,3,2026-01-10 10:11:00,2026-01-10 10:11:00
ORD_000471,CUST_2311,pending,334.98,2,2026-01-10 19:44:00,2026-01-10 19:44:00
ORD_000472,CUST_8752,pending,299.98,2,2026-01-10 09:59:00,2026-01-10 09:59:00
ORD_000473,CUST_2363,pending,999.99,1,2026-01-10 14:33:00,2026-01-10 14:33:00
ORD_000474,CUST_7387,pending,89.99,1,2026-01-10 10:05:00,2026-01-10 10:05:00
ORD_000475,CUST_9630,pending,174.97,3,2026-01-10 10:08:00,2026-01-10 10:08:00
ORD_000476,CUST_8801,pending,1299.98,2,2026-01-10 13:55:00,2026-01-10 13:55:00
ORD_000477,CUST_3900,pending,419.96,4,2026-01-10 19:34:00,2026-01-10 19:34:00
ORD_000478,CUST_6073,pending,759.96,4,2026-01-10 18:34:00,2026-01-10 18:34:00
ORD_000479,CUST_7753,pending,1139.97,3,2026-01-10 12:23:00,2026-01-10 12:23:00
ORD_000480,CUST_3233,pending,1229.97,3,2026-01-10 20:54:00,2026-01-10 20:54:00
ORD_000481,CUST_8816,pending,469.97,3,2026-01-10 15:48:00,2026-01-10 15:48:00
ORD_000482,CUST_1118,pending,1139.97,3,2026-01-10 11:50:00,2026-01-10 11:50:00
ORD_000483,CUST_7385,pending,319.97,3,2026-01-10 11:10:00,2026-01-10 11:10:00
ORD_000484,CUST_5454,pending,1469.96,4,2026-01-10 20:58:00,2026-01-10 20:58:00
ORD_000485,CUST_2121,pending,469.97,3,2026-01-10 11:54:00,2026-01-10 11:54:00
ORD_000486,CUST_8418,pending,299.98,2,2026-01-10 15:39:00,2026-01-10 15:39:00
ORD_000487,CUST_9764,pending,484.97,3,2026-01-10 10:03:00,2026-01-10 10:03:00
ORD_000488,CUST_5410,pending,149.99,1,2026-01-10 09:18:00,2026-01-10 09:18:00
ORD_000489,CUST_3468,pending,69.98,2,2026-01-10 11:05:00,2026-01-10 11:05:00
ORD_000490,CUST_6104,pending,49.99,1,2026-01-10 13:26:00,2026-01-10 13:26:00
ORD_000491,CUST_1918,pending,684.96,4,2026-01-10 20:09:00,2026-01-10 20:09:00
ORD_000492,CUST_5097,pending,1084.97,3,2026-01-10 11:57:00,2026-01-10 11:57:00
ORD_000493,CUST_5049,pending,394.96,4,2026-01-10 20:28:00,2026-01-10 20:28:00
ORD_000494,CUST_2539,pending,149.99,1,2026-01-10 19:49:00,2026-01-10 19:49:00
ORD_000495,CUST_6293,pending,349.98,2,2026-01-10 12:59:00,2026-01-10 12:59:00
ORD_000496,CUST_3001,pending,1299.98,2,2026-01-10 16:33:00,2026-01-10 16:33:00
ORD_000497,CUST_4568,pending,539.97,3,2026-01-10 08:55:00,2026-01-10 08:55:00
ORD_000498,CUST_1246,pending,89.99,1,2026-01-10 14:20:00,2026-01-10 14:20:00
ORD_000499,CUST_4982,pending,114.98,2,2026-01-10 14:50:00,2026-01-10 14:50:00
ORD_000500,CUST_8786,pending,199.99,1,2026-01-10 17:50:00,2026-01-10 17:50:00
ORD_000447,CUST_4170,confirmed,599.97,3,2026-01-09 17:04:00,2026-01-10 12:33:00
ORD_000192,CUST_2275,cancelled,49.99,1,2026-01-04 15:58:00,2026-01-10 09:53:00
ORD_000327,CUST_5102,confirmed,439.97,3,2026-01-07 18:23:00,2026-01-10 11:33:00
ORD_000133,CUST_4920,cancelled,999.99,1,2026-01-03 18:38:00,2026-01-10 19:14:00
ORD_000256,CUST_5054,delivered,389.96,4,2026-01-06 11:48:00,2026-01-10 11:12:00
ORD_000193,CUST_2887,confirmed,194.97,3,2026-01-04 14:18:00,2026-01-10 11:36:00
ORD_000396,CUST_9380,confirmed,819.97,3,2026-01-08 09:00:00,2026-01-10 10:35:00
ORD_000135,CUST_3522,delivered,49.99,1,2026-01-03 09:41:00,2026-01-10 14:47:00
ORD_000310,CUST_5305,delivered,394.96,4,2026-01-07 08:28:00,2026-01-10 18:36:00
ORD_000105,CUST_6419,delivered,779.97,3,2026-01-03 13:27:00,2026-01-10 15:44:00
ORD_000441,CUST_9800,confirmed,999.99,1,2026-01-09 17:25:00,2026-01-10 22:06:00
ORD_000319,CUST_1040,shipped,769.96,4,2026-01-07 15:20:00,2026-01-10 10:35:00
ORD_000190,CUST_3116,shipped,49.99,1,2026-01-04 14:11:00,2026-01-10 13:42:00
ORD_000416,CUST_4170,confirmed,414.97,3,2026-01-09 20:46:00,2026-01-10 17:28:00
ORD_000151,CUST_4846,delivered,2349.96,4,2026-01-04 09:06:00,2026-01-10 22:20:00
ORD_000165,CUST_1710,shipped,49.99,1,2026-01-04 11:39:00,2026-01-10 13:54:00
ORD_000390,CUST_5670,confirmed,209.98,2,2026-01-08 19:05:00,2026-01-10 20:40:00
ORD_000245,CUST_6658,shipped,549.98,2,2026-01-05 19:20:00,2026-01-10 19:20:00
ORD_000297,CUST_5697,shipped,79.99,1,2026-01-06 12:34:00,2026-01-10 17:34:00
ORD_000427,CUST_9426,confirmed,199.99,1,2026-01-09 20:23:00,2026-01-10 20:35:00
ORD_000314,CUST_5740,shipped,309.97,3,2026-01-07 19:18:00,2026-01-10 12:23:00
ORD_000365,CUST_8619,confirmed,719.96,4,2026-01-08 12:28:00,2026-01-10 15:25:00
ORD_000216,CUST_7955,cancelled,824.96,4,2026-01-05 09:46:00,2026-01-10 08:18:00
ORD_000042,CUST_5345,delivered,519.96,4,2026-01-01 08:24:00,2026-01-10 16:08:00
ORD_000331,CUST_3165,confirmed,1619.96,4,2026-01-07 14:44:00,2026-01-10 12:00:00
ORD_000320,CUST_6869,confirmed,34.99,1,2026-01-07 15:40:00,2026-01-10 11:13:00
ORD_000170,CUST_4522,delivered,34.99,1,2026-01-04 09:54:00,2026-01-10 08:49:00
ORD_000257,CUST_6927,delivered,79.99,1,2026-01-06 16:45:00,2026-01-10 19:52:00
ORD_000064,CUST_5065,delivered,1634.96,4,2026-01-02 20:42:00,2026-01-10 16:32:00
ORD_000389,CUST_6640,confirmed,249.98,2,2026-01-08 16:22:00,2026-01-10 22:36:00
ORD_000429,CUST_4492,confirmed,299.99,1,2026-01-09 11:42:00,2026-01-10 08:29:00
ORD_000282,CUST_4555,delivered,149.99,1,2026-01-06 20:37:00,2026-01-10 10:16:00
ORD_000391,CUST_4511,confirmed,399.99,1,2026-01-08 10:54:00,2026-01-10 17:15:00
ORD_000215,CUST_4060,delivered,149.97,3,2026-01-05 14:21:00,2026-01-10 20:19:00
ORD_000213,CUST_6848,cancelled,404.96,4,2026-01-05 11:18:00,2026-01-10 14:36:00
ORD_000315,CUST_7743,shipped,479.97,3,2026-01-07 09:08:00,2026-01-10 19:04:00
ORD_000301,CUST_4908,confirmed,579.97,3,2026-01-07 13:07:00,2026-01-10 20:30:00
ORD_000380,CUST_6094,shipped,399.99,1,2026-01-08 20:19:00,2026-01-10 21:57:00
ORD_000271,CUST_1256,confirmed,119.99,1,2026-01-06 14:39:00,2026-01-10 17:52:00
ORD_000196,CUST_3754,shipped,1279.96,4,2026-01-04 13:49:00,2026-01-10 17:41:00
ORD_000111,CUST_1841,delivered,1289.96,4,2026-01-03 13:11:00,2026-01-10 19:51:00
ORD_000449,CUST_4629,confirmed,469.97,3,2026-01-09 13:15:00,2026-01-10 09:49:00
ORD_000371,CUST_4308,cancelled,199.98,2,2026-01-08 18:27:00,2026-01-10 20:21:00
ORD_000283,CUST_4113,delivered,889.96,4,2026-01-06 11:59:00,2026-01-10 21:27:00
ORD_000264,CUST_8734,confirmed,199.99,1,2026-01-06 09:59:00,2026-01-10 21:07:00
ORD_000324,CUST_8529,shipped,999.99,1,2026-01-07 20:53:00,2026-01-10 11:47:00
ORD_000373,CUST_6343,shipped,399.99,1,2026-01-08 14:35:00,2026-01-10 17:59:00
ORD_000004,CUST_9928,cancelled,79.99,1,2026-01-01 19:41:00,2026-01-10 20:40:00
ORD_000401,CUST_9328,confirmed,1164.96,4,2026-01-09 17:30:00,2026-01-10 12:33:00
ORD_000333,CUST_3340,cancelled,519.98,2,2026-01-07 10:41:00,2026-01-10 16:36:00
ORD_000211,CUST_5807,delivered,1454.96,4,2026-01-05 15:02:00,2026-01-10 16:44:00
ORD_000040,CUST_1241,delivered,299.99,1,2026-01-01 16:53:00,2026-01-10 08:43:00
ORD_000323,CUST_1793,shipped,129.98,2,2026-01-07 13:57:00,2026-01-10 14:28:00
ORD_000251,CUST_6400,delivered,669.96,4,2026-01-06 20:17:00,2026-01-10 17:32:00
ORD_000411,CUST_4342,cancelled,1449.97,3,2026-01-09 20:18:00,2026-01-10 14:18:00
ORD_000321,CUST_8039,shipped,34.99,1,2026-01-07 14:13:00,2026-01-10 10:08:00
ORD_000058,CUST_8007,delivered,424.97,3,2026-01-02 19:28:00,2026-01-10 15:36:00
ORD_000305,CUST_9109,delivered,549.98,2,2026-01-07 16:32:00,2026-01-10 16:25:00
ORD_000388,CUST_8308,confirmed,89.99,1,2026-01-08 15:38:00,2026-01-10 14:32:00
ORD_000268,CUST_1372,delivered,124.98,2,2026-01-06 08:48:00,2026-01-10 19:08:00
ORD_000349,CUST_1185,shipped,999.99,1,2026-01-07 10:44:00,2026-01-10 15:35:00
ORD_000217,CUST_5813,delivered,49.99,1,2026-01-05 10:34:00,2026-01-10 14:41:00
ORD_000138,CUST_5377,shipped,554.97,3,2026-01-03 20:32:00,2026-01-10 16:39:00
ORD_000406,CUST_6657,confirmed,389.98,2,2026-01-09 12:43:00,2026-01-10 16:15:00
ORD_000311,CUST_4882,delivered,1239.97,3,2026-01-07 09:49:00,2026-01-10 12:49:00
ORD_000446,CUST_6420,confirmed,539.97,3,2026-01-09 17:31:00,2026-01-10 18:59:00
ORD_000335,CUST_8248,shipped,724.96,4,2026-01-07 17:43:00,2026-01-10 09:42:00
ORD_000272,CUST_1797,confirmed,239.98,2,2026-01-06 08:28:00,2026-01-10 13:22:00
ORD_000121,CUST_1977,delivered,479.96,4,2026-01-03 10:04:00,2026-01-10 13:38:00
ORD_000291,CUST_9954,delivered,434.98,2,2026-01-06 10:46:00,2026-01-10 20:19:00
ORD_000177,CUST_6761,shipped,199.99,1,2026-01-04 17:19:00,2026-01-10 13:39:00
ORD_000395,CUST_8646,confirmed,849.97,3,2026-01-08 12:13:00,2026-01-10 20:28:00
ORD_000226,CUST_8311,shipped,89.99,1,2026-01-05 12:45:00,2026-01-10 15:02:00
ORD_000300,CUST_8520,shipped,609.97,3,2026-01-06 13:25:00,2026-01-10 11:12:00
ORD_000378,CUST_7484,confirmed,599.98,2,2026-01-08 14:02:00,2026-01-10 10:48:00
ORD_000098,CUST_1659,delivered,1679.96,4,2026-01-02 18:04:00,2026-01-10 09:07:00
ORD_000079,CUST_6085,delivered,119.99,1,2026-01-02 20:15:00,2026-01-10 11:39:00
ORD_000263,CUST_2044,shipped,999.99,1,2026-01-06 13:44:00,2026-01-10 21:53:00
ORD_000392,CUST_7709,shipped,599.98,2,2026-01-08 12:41:00,2026-01-10 08:21:00
ORD_000060,CUST_3426,shipped,119.99,1,2026-01-02 17:35:00,2026-01-10 09:19:00
ORD_000048,CUST_9565,delivered,49.99,1,2026-01-01 17:36:00,2026-01-10 08:21:00
ORD_000353,CUST_5205,confirmed,229.97,3,2026-01-08 09:22:00,2026-01-10 16:13:00
ORD_000109,CUST_5494,delivered,1239.97,3,2026-01-03 16:08:00,2026-01-10 16:48:00
ORD_000450,CUST_8296,confirmed,1189.96,4,2026-01-09 15:29:00,2026-01-10 15:39:00
ORD_000364,CUST_2493,confirmed,969.96,4,2026-01-08 18:16:00,2026-01-10 10:44:00
ORD_000039,CUST_2604,delivered,1169.97,3,2026-01-01 20:55:00,2026-01-10 08:24:00
ORD_000147,CUST_2121,delivered,669.96,4,2026-01-03 16:02:00,2026-01-10 18:33:00
ORD_000094,CUST_1444,cancelled,199.99,1,2026-01-02 17:36:00,2026-01-10 10:03:00
ORD_000253,CUST_3616,confirmed,299.99,1,2026-01-06 15:19:00,2026-01-10 20:44:00
